train_loss,train_error,test_loss,test_error,epoch
0.0002479964822885536,tensor(0.0101),0.00015443495687105934,tensor(0.0071),0
0.00014305572916609456,tensor(0.0065),0.0001347959319159768,tensor(0.0062),1
0.00012935260075166643,tensor(0.0058),0.000131782172334001,tensor(0.0059),2
0.00014421411788567812,tensor(0.0062),0.0001496924046983218,tensor(0.0068),3
0.00012450097842485689,tensor(0.0055),0.00013471672314658968,tensor(0.0059),4
0.00011769481006056248,tensor(0.0054),0.00012999935602743385,tensor(0.0061),5
0.0001145949196403048,tensor(0.0052),0.00013602656744532632,tensor(0.0061),6
0.00011222017942816907,tensor(0.0050),0.0001269287678479924,tensor(0.0058),7
0.00010918891861192173,tensor(0.0051),0.00012553919966901757,tensor(0.0056),8
0.00010531826271852922,tensor(0.0048),0.00011906497686006198,tensor(0.0058),9
