train_loss,train_error,test_loss,test_error,epoch
3.616335379774682e-05,tensor(0.0089),9.352534107165411e-05,tensor(0.0156),0
2.316999416507315e-05,tensor(0.0053),0.00015077376156114042,tensor(0.0178),1
1.7816697436501272e-05,tensor(0.0036),0.0001681260037003085,tensor(0.0156),2
2.4662183477630606e-06,tensor(0.0003),0.0001826132065616548,tensor(0.0156),3
1.005930812425504e-06,tensor(0.),0.00019399456505198032,tensor(0.0156),4
5.058467991148063e-07,tensor(0.),0.00020370641141198575,tensor(0.0156),5
5.204861395213811e-07,tensor(0.),0.0002090804191539064,tensor(0.0156),6
3.729015531916957e-07,tensor(0.),0.0002165737678296864,tensor(0.0156),7
3.033413804587326e-07,tensor(0.),0.0002247850497951731,tensor(0.0156),8
2.922405144545337e-07,tensor(0.),0.00022493382857646793,tensor(0.0156),9
