train_loss,train_error,test_loss,test_error,epoch
0.0002929453574072588,0.011237370694000827,0.000282022128186117,0.009332653403712006,0
0.000252773770878073,0.00856377497444501,0.0002551219871607967,0.009598979636883507,1
0.00020921283293778243,0.008344691302074065,0.00020382603822956578,0.008615593837860685,2
0.00018909253499304674,0.007968134099230318,0.00019614544950085334,0.008708693660222568,3
0.00017996682681138674,0.007923808405268015,0.00018970772641925857,0.008814462496397587,4
0.00017138008583835002,0.0078345139759897,0.0001805987390420901,0.008203259848344784,5
0.00016868456945717702,0.007926823031894936,0.0001742144304444082,0.008189831591712741,6
0.00016529090578050012,0.00776736531406641,0.00016820376605699913,0.007737563385699804,7
0.00016140955786156182,0.007710880576863442,0.00016710690453272456,0.007964051561430097,8
0.00015751407650301677,0.007590970098234639,0.00016996336097900683,0.008376376219810201,9
