train_loss,train_error,test_loss,test_error,epoch
1.308612959292077e-07,0.00035621721524512395,1.4286449198961134e-07,0.00036546593071848507,0
1.43122201393453e-07,0.000364739129669033,1.4185943267341552e-07,0.000365536826263581,1
1.4385217690460195e-07,0.00036477486055810004,1.4269032330308358e-07,0.0003654895625668504,2
1.4396802708915856e-07,0.00036473912943620236,1.4406945043656524e-07,0.00036546593071848507,3
1.4482172144880678e-07,0.0003647867711260915,1.4510024561065028e-07,0.0003654895625668504,4
1.4349136446867307e-07,0.00036477486055810004,1.4311963277289159e-07,0.0003654422988701198,5
1.440109240320453e-07,0.0003647450845455751,1.4020682711484296e-07,0.0003655131944152157,6
1.4503644845831331e-07,0.000364774860907346,1.453228834623674e-07,0.0003655131944152157,7
1.4396544528949562e-07,0.0003647569951135665,1.4331170488066928e-07,0.0003654895625668504,8
1.4412872357638663e-07,0.0003647867712425068,1.4336065631264246e-07,0.0003654895625668504,9
