train_loss,train_error,test_loss,test_error,epoch
0.00024652383719859204,0.01198497038068516,0.00023322468095338317,0.011406648697124587,0
0.00020567233094923376,0.00912219886002796,0.00023415155010297894,0.0117719656166931,1
0.00018134912603446062,0.007952758785159815,0.00019555571877087155,0.008984342458899374,2
0.00016606678213325462,0.007143322799709581,0.00017680090160057362,0.008205231900016466,3
0.00015605409751601873,0.0068012094169500326,0.00016838758030509644,0.0074221922809051145,4
0.00015199738734823076,0.006679116601922682,0.0001631481982595115,0.007572316081711539,5
0.00014914615465039832,0.006506705765301982,0.0001501338184526604,0.006549728844590761,6
0.00014229473176999904,0.006261043549914446,0.00016421038081817742,0.007799700333702343,7
0.00014036062195719708,0.006187408089282967,0.00015104846210710498,0.006939332138884951,8
0.00013773194375625323,0.006084407426949059,0.00014816849876229685,0.006537601696672263,9
