train_loss,train_error,test_loss,test_error,epoch
0.0002478262467775494,0.012077078396188361,0.00025219986370454234,0.013049716681793885,0
0.0002059102905193521,0.009121695693050111,0.0002077421560426484,0.008935257688992553,1
0.00017958600281937315,0.007815129797728288,0.00019172414559526024,0.00801396528603854,2
0.00016442497186030128,0.007146978433731766,0.00017920649433680983,0.007677023876803341,3
0.00015635245612689427,0.006772698714796986,0.00018048101736456846,0.008013909389437348,4
0.00015278478240361438,0.006690936085457603,0.000183303288833014,0.008614268524710226,5
0.0001491422205054689,0.00667892758335386,0.00017196889368480898,0.008050443018200222,6
0.00014479015489563435,0.0064050972772141295,0.0001630929707769408,0.007717470690194104,7
0.0001424196235824465,0.00628304437822884,0.00015952540518440032,0.007238799680231346,8
0.00013978951645272209,0.006204474302718328,0.00014884714565360573,0.006995227058521575,9
