train_loss,train_error,test_loss,test_error,epoch
0.0007096149493008852,tensor(0.0540),0.0006910051451995969,tensor(0.0552),0
0.0004788996884599328,tensor(0.0208),0.0008893735939636827,tensor(0.0552),1
0.00024498533457517624,tensor(0.0042),0.0008882556576281786,tensor(0.0497),2
0.00019720179261639714,tensor(0.0028),0.0009981044568121433,tensor(0.0442),3
0.00012017335393466055,tensor(0.),0.0012249996652826667,tensor(0.0442),4
9.344201680505648e-05,tensor(0.),0.0012923964532092214,tensor(0.0442),5
6.795029185013846e-05,tensor(0.),0.0013964910758659244,tensor(0.0442),6
5.180735024623573e-05,tensor(0.),0.001481180777773261,tensor(0.0442),7
4.830717443837784e-05,tensor(0.),0.0015613038558512926,tensor(0.0442),8
4.109198198420927e-05,tensor(0.),0.0016062891809269786,tensor(0.0442),9
